title,text
Проблемы с роутером,добрый день звать андрей слушать добрый вечер звать сергей позвонить смотреть проблема блокировать роутер ест пароль пароль книжка пароль попробовать подключить ноутбук телефон телефон работать вай фай работать попробовать перезагрузить роутер получаться либо куча сбой лицевой счёт меняться роль почему стать совпадать подождать телефон примета скинуть пароль удалить загрузить новость пароль видеть роутер номер лицевой счёт назвать пожалуйста давать че адрес жить искать персональный проверка город новосибирск кропоткин 127 квартира 8 сергей валериевич роутер предать роутер давно сколько год модель рота ртн 12 минута подождать пожалуйста хотеть либо дело получиться спасибо ожидание зарегистрировать заявка техподдержка техподдержка вы завтра оператор какой проблема смотреть ценовый подключение пробовать везде техподдержка техподдержка получаться крайний случай давать вы посмотреть подключение нету сигна проходить настрой всякий случай перезагрузить порт почему принимать пароль лицевой счёт понимать являться входной удалённый доступ роутер настроить поэтому проверить пароль смочь техподдержка проверить пароль угу начать какой готовый завтра туда рисовать позвонить возможно отметить завтра техподдержка вы связаться спасибо спасибо спасибо спасибо обращение свидание
Проблемы с роутером,спасибо ожидание дать действительно возможность снижение скорость тот пакет особенно вечерний время проблема наш специалист решать работать соответственно немного вариант рот подключение пребольшой роутер выключить пожалуйста роутер розетка секунда секунда снова написать пожалуйста спасибо ожидание проверить пожалуйста ловиться работа вообще страница прогружаться google работать интернет устройство идти какой конкретный телефон вай фай минута зарегистрировать техподдержка техподдержка работать дополнить секунда поддержка сам завтра сколько готовый принять завтра быть секунда ответить подсказать удалить проблема массовый город дамский скорость планировать хранить достаток конкретный срок обозначить сожаление повод интернет связаться спасибо большой спасибо обращение свидание свидание
Проблемы с роутером,здравствуйте звать анна мочь помочь анна здравствуйте говорить сочень коллега антон такой проблема вчера провести интернет заплатить абонентский плата вчера интернет сегодня просыпаться р антон сказать нужно заплатить р заплатить 20 р ноутбук подключить комично ёлка сеть интернет уточнить пожалуйста лицевой счёт 94 простить алиса угу 94 82 41 кто зарегистрировать договор фёдоров алексей вячеславович минута пожалуйста посмотреть ваш предыдущий звонок баланс положительно переплата 17 р 84 интернет появиться верно причём подключение идти проводной напрямую роутер провод идти напрямую угу минута пожалуйста прямо подключить форд верно кабель компьютер ноутбук запускаться зарядка буквально 40 секунда показать работать просто показываться кабель подключить скорее ноутбук перезагружаться проверять видеть подключить минута пожалуйста мак сам установить новый должный интернет настройка обновить вчера звонить награда интернет сказать закрыть линия час появиться часик звонить появиться данный случай должный появиться 15 20 минута максимум угу роутер работать переключить обратно роутер нужно обратно менять заново физический адрес посмотреть напрямую заработать интернет нужно одеться скорее инженер либо переводить техподдержка вообще должный заработать ладный спасибо большой заработать 15 20 минута обратиться пожалуйста повторно спасибо добрый свидание
Проблемы с роутером,здравствуйте звать слушать мочь помочь сказать пожалуйста роутер мочь прописать посмотреть толиби сказать пожалуйста гашик 17 гоша смотреть 947 751 секунда просто мочь пользоваться оборудование зарегистрироваться 10 появиться появиться интернет служба появиться наруто вопрос подключить принцип видеть мой просто нажать народ должный написать занести пароль подключать занести такой роутер видимо компьютер телефон знать мы пароль занести сделать нажимать роутер телефон выйти пароль ивано роутер телефон логин пароль пароль посмотреть опред должный написать покупать роутер пароль мы зарегистрировать правильно должный проявить провести интернет давать какой вопрос глава верно пароль вай фай роутер переврать пин код переворачивать спасибо добрый свидание сбросить изменить допустить заниматься быть делать почему просто поменять пароль поменять положить пасмурно нажимать вообще нету разбираться сука достроить спасибо большой алло здравствуйте добрый вечер сказать пароль погодить интернет спасибо позвонить свидание добрый
Проблемы с оплатой,владимир слушать здравствуй вчера звонить вчера пополнить 300 р почему прислать 200 вчера позвонить списать говорить 99 р какой списать подключать делать сегодня смотреть баланс вообще 210 р заходить лич кабинет час 149 р списываться мочь понять минута посмотреть ваш начисление нету вай фай кинуть деньга нормальный 299 списывать постоянно смотреть сегодня списаться месяц 299 р знать вчера минута 300 р списать 299 октябрь какой списать 99 149 получаться зато каспийский отключить подключить возможно вместе звонок насчёт подключение дать услуга никто звонить говорить вчера женщина позвонить говорить списать 99 р говорить отправить заявка отключить сделать деньга вернуться сегодня утром включать телевизор 149 р списать дебил работа мочь понять смотреть просто заявка который составить перерасчёт смотреть максимально течение 5 почему 149 списать подключать никакой услуга 30 число сразу очерёдность никакой настя 300 р кинуть вчера выполнение объяснять списание карпинский который отличить дело перерасчёт поэтому задолженность подключить посмотреть сказать смочь отдел заниматься перерасчёт такой случай озвучить искать почему вчера кинуть сегодня списать 300 р сидеть вай фай телевизор нормально смотреть мочь перерасчёт 5 6 день сказать кидать деньга мочь единственный система выдать обещать платёж нужный обещать платёж кинуть нормально списываться нормально списывать списать каспер раз выдать оплачиваться назначить такой случай долго успеть оплатить хотеть списание который сделать пересчёт сам перекрываться обещать платёж аннулироваться понять почему такой понять происходить хотя ответить инженер который заниматься телок это вопрос перерасчёт дать номер инженер набрать сожаление вы вы связаться кофе надцать 18 верно приехать туда начаться наверное самый поговорить начальник сегодня работать приехать попасть он зависеть человек работать мочь он попасть принимать приём гражданин производить орать мочь посмотреть находиться место короче включить вай фай телефон включить возврат вай фай 8 знать должный списать вчера кинуть заранее списать работать постоянно кидать написать списать подключаться баран говорить мочь сделать работать интернет выйти обещать платёж остановиться должный туда телевизор правильно дать 220 р баланс положительный пока 5 день который рассматриваться заявка интернет заявка рассмотреть вася обещать платёж перекрыться отмениться 6 число вернуть деньга закрытый каспийский понять давать включить
Проблемы со скоростью загрузки,здравствуйте звать андрей слушать андрей здравствуйте хотеть вопрос поинтересоваться общий уточнить заявить скорость интернет вообще мой тарифный план лицевой счёт либо адрес подключение уточнить ваш 6 8 7 0 0 счёт спасибо большой кто зарегистрировать вишнёвый антон павлович тариф называться 100 мегабит секунда 550 р месяц ага сказать поинтересоваться также почему 360 этот качество фильм загружаться просто телевизор очень недать весьма работать невозможно постоянно прерывать понять скорее связать понимать телевизор вай фай работать вайфай возможность подключить телевизор кабель скорее жало подключать компьютер компьютер интернет очень плохо грузиться фильм понять контакт идти именно просадка скорость знать скорее поход просто понимать заявить скорость зависеть вай фай никакой роль особо играть идти 360 самый правый заветинский фильм понять данный момент проверить информация проверить мочь информация сигнал доходить ваш оборудование смотреть именно качество сигнал кабель подключать компьютер нужно провести замереть скорость точно выяснить именно причина скорость проверка скорость отображаться подключить адрес подключение напрямую 80 выше нормальный скорость соединение вай фай 150 мегабит выше мегабит секунда нормально скоро соединение предоставляться дать скорость сильно загружаться медленно скорее нужно выяснять тема имя причина страна данный ресурс провести рокировка данный ресурс иметь ввиду сайт который верно касаться пробовать везде идти нахуй думать сторона однозначно наш сторона понять возможность проверить скорость провести замер пинк скорость скачивание скорость загрузка правило написать сайт данный момент пик 6 12 скачивание скорость понять 94 24 ау загрузка 94 89 скоро предел норма билайн новосибирск 1000 север какой зазор голос верно вопрос разный сервер разный скоро соединение каша загрузка яндекс телевизор сожаление данный момент именно сам компьютер провести текиров мочь отправить смс сообщение ссылка полный инструкция быть люба спасибо номер телефон который обращаться мочь отправить пожалуйста данный телефон сразу сообщение течение 15 минута сообщение прийти добрый свидание
Проблемы со скоростью загрузки,здравствуйте звать слушать здравствуйте подсказать пожалуйста мы подключить отказаться телевидение вообще сделать нужно номер сказать пожалуйста 8 номер телефон либо лектовыя шик ебаня кристальный город город бердск кристальный 16 договор кто оформить горелов владислав игоревич работа идти пакет смотреть менять тариф посмотреть менять тариф самый дешёвый скорость стоить 600 р скорость маленький 50 мегабит 400 давать доставка аренда нужно сделать весь специалист техника подъехать забрать приставка вообще сделать подключать демонтаж день забрать либо крест сразу поменять тариф который сказать либо нужно перезвонить угу контактный номер телефон оставлять который звонить добавить давать 8 929 угу 389 39 01 угу время хотеть сумма примерно удобно принять специалист смотреть специалист принцип подъехать завтра подъехать 9 30 10 утро либо 10 10 10 утро утром секундочка просто работа получаться работа свидание смотреть заявка отложить четверг четверг скорость  смочь перезвонить назначить пятница давать пожалуйста добрый свидание
Проблемы со скоростью загрузки,здравствуйте звать слушать здравствуйте подсказать скорость пожалуйста мы подключить отказаться телевидение вообще сделать нужно номер сказать пожалуйста 8 номер телефон либо лектовыя шик ебаня кристальный город город бердск кристальный 16 договор кто оформить горелов владислав игоревич работа идти пакет смотреть менять тариф посмотреть менять тариф самый дешёвый скорость стоить 600 р скорость маленький 50 мегабит 400 давать доставка аренда нужно сделать весь специалист техника подъехать забрать приставка вообще сделать подключать демонтаж день забрать либо крест сразу поменять тариф который сказать либо нужно перезвонить угу контактный номер телефон оставлять который звонить добавить давать 8 929 угу 389 39 01 угу время хотеть сумма примерно удобно принять специалист смотреть специалист принцип подъехать завтра подъехать 9 30 10 утро либо 10 10 10 утро утром секундочка просто работа получаться работа свидание смотреть заявка отложить четверг четверг  скорость смочь перезвонить назначить пятница давать пожалуйста добрый свидание
Проблемы со скоростью загрузки,детский сеть владимир слушать здравствуйте владимир подсказать заявочный мастер оставить какой адрес плагин 31 208 город новосибирск какой вопрос заявка спикер сломаться инструмент обжимка нету угу смотреть смочь поставить заявка предупреждать платный именно минута конвектор 50 р бесплатно почему платно говорить просто такой ситуация обновляться система мочь сделать платный пока пока заявка бесплатный нискать сказать платный бесплатный век сказать место уточнить пожалуйста 29 22 телефон завтра 11 12 мочь принять инженер ожидать инженер завтра 12 спасибо вопрос ограничиваться скорость допустить 50 мегабайт секунда скорость ограничиваться определённый количество использовать гигабайт месяц безлимитный платить 50 мегабит течение месяц понимать допустить терабайт месяц сказать определённый скорость терабайт ограничение стандартный идти говорить безлимит сколько качать кодак тажа указать 50 мегабит 50 мегабит скоро скорее зависеть вай фай причём подключить сеть дем дения скорость примерно подключить компьютер телефон сказать распределяться телефон компьютер быть компьютер скорость идти скорость спасибо большой спасибо скорость большой обращение свидание свидание
Проблемы из-за технических работ,добрый день звать павел мочь помочь добрый день подсказать айтишник смениться адрес телефон электроный счёт номер лицевой счёт 279 110 кто оформить договор бабушкин евгений алексеевич личный кабинет дино вчера почему отвалиться связь сегодняшний день связь нету нету думать странно статика забитый включить дтп к прилететь вообще пишникнуть текущий момент меняться почему прилетать 10 101 10 106 193 79 место мой фактический который 10 100 209 239 течь апрель объект авторизация 10 точка 80 133 мочь личный кабинет увидеть подождать разговор точка подключение адрес миграция вселенная который прийти 10 8 7 133 лицевой счёт авто роликовый счёт хищник поэтому место подключение 10 100 точка 209 239 такой пи адрес ленинский непосредственно наком почему кто работать подключение рассказ напрямую либо вай фай роутер роутер против видеть лента пинговать люся видеть такой ощущение порт ваш сторона именно интерфейс ваш сторона друг звон техничесике находиться говорить вчерашний технические работы день число 10 утро нету связь думать авария просто позвонить поддержка сказать тип привязать мак адрес тип 15 минута заработать 15 минута заработать знать марков степень зайти статика думать ладный поменяться включать такой вне прилетать вообще левый адрес ваш наркомовский работать немой произойти ник текущий момент работать стас 10 100 209 239 связь вообще шлюха видеть маска 19 10 110 9 279 19 март включать пи к прилетать 10 106 193 79 27 марка сразу подниматься остальной соединить тройник технический поддержка пожалуйста оставаться линия детально проконсультировать угу
Проблемы из-за технических работ,добрый вечер звать андрей слушать андрей здравствуйте звать артём смотреть день ходить скорость интернет падать буквально несколько человек подсказывать нормальный состояние собственно день значит мочь понять роутер перезагружать помогать понять назвать пожалуйста технический работа  моделька либо адрес давать адрес сказать номер помнить выборный 89 4 квартира 127 алина конкретный ноутбук пользоваться подключить роутер напрямую роутер роутер вай фай получаться кабель роутер роутер давать ноутбук вай фай вафа такой подключить возможность технический работа  подключить кабель напрямую ноутбук сделать замереть именно подключение напрямую возможность мочь назвать выезд минута регистрировать заявка выезд программа активировать приятно спасибо ожидание заявка зарегистрировать мочь технический работа  назначить завтра 11 12 утро самара время работать сказать телефон проверить ранний звонить вроде решать проблема какой образ возможность удалённый условие диагность замереть напрямую синемой номер напрямую точно сантехник ноутбук замерять скорость угу ноутбук средство телефон помогать говорить свами поменяться проблёмкий смешать телефон яркий технический работа  неделя работать платить видеть никак выходной корона график дом работать вариант удалённый сделать мочь собственно дать выходной выходной технуть подъехать общий предлагать такой случай случайно оставить комментарий заявка относиться диспетчер согласование время выезд ожидать пожалуйста перезвонить подождать технический отдел сайт соединить технический работа  говорить разный ситуация сомнение телефон решать просто надеть попробовать просто быть ждать выезд скоро дождаться графика несколько день интернет получать понимать ваш проблема давать решить видеть минута подождать пожалуйста закрой заявка выезд регистрировать заявка удалённый техподдержка короткий вопрос замереть деальный пит делать грузить вопрос мочь сделать сегодня загружать технический работа  торрент прям 5 нормально скачивать прям подключить попробовать пожалуйста тело замена питаться вообще загрузить угу грузиться сайт загрузиться ожидать ожидание ожидание хотя интернет писать подключить температурный система компьютер наличие антивирус стандартный наличие вопрос найзер нету минута спасибо ожидание пробовать проверять процент специальный процессор нажать пожалуйста контра выбрать диспетчер задача производительный смотреть добро такой точно написать старый процессор 12 осный 9 записать очень больший район 11 заявка зарегистрировать технический работа ситуация писать перевод специалист техподдержка пойти пожалуйста переводить
Проблемы из-за технических работ,добрый день звать павел мочь технический  помочь добрый день подсказать айтишник смениться адрес телефон электроный счёт номер лицевой счёт 279 110 кто оформить договор бабушкин евгений алексеевич личный кабинет дино вчера почему отвалиться связь сегодняшний день связь нету нету думать странно статика забитый включить дтп к прилететь вообще пишникнуть текущий момент меняться почему прилетать 10 101 10 106 193 79 место мой фактический который 10 100 209 239 течь апрель объект авторизация 10 точка 80 133 мочь личный кабинет увидеть подождать разговор точка подключение адрес миграция вселенная который прийти 10 8 7 133 лицевой счёт авто роликовый счёт хищник поэтому место подключение 10 100 точка 209 239 такой пи адрес ленинский непосредственно наком почему кто работать подключение рассказ напрямую либо вай фай роутер роутер против видеть лента пинговать люся видеть такой ощущение порт ваш сторона именно интерфейс ваш сторона друг звон находиться говорить вчерашний день число 10 утро нету связь думать авария просто позвонить поддержка сказать тип привязать мак адрес тип 15 минута заработать 15 минута заработать знать марков степень  технический зайти статика думать ладный поменяться включать такой вне прилетать вообще левый адрес ваш наркомовский работать немой произойти ник текущий момент работать стас 10 100 209 239 связь вообще шлюха видеть маска 19 10 110 9 279 19 март включать пи к прилетать 10 106 193 79 27 марка сразу подниматься остальной соединить тройник технический поддержка пожалуйста оставаться технический линия детально  технический проконсультировать угу
Проблемы из-за технических работ,здравствуйте звать антон слушать технический работ здравствуйте антон знать какой слово подобрать звонить минута 40 назвать пожалуйста свой счёт ад 648 164 648 164 утро сходить оплатить баланс кто оформить оформить ваш договор михалевич игоревич слышать активный баланс положительный дело двигатель выходить оплачивать сегодня утром угу сей пора писать баланс отрицательный вообще интернет включаться знать писать ваш разговор записать мочь подойти роутер пенсионер лежать дом больной человек просто ваш реклама услуга 40 минута звонить поговорить че телефон записываться сожаление 11 звонить получить точность линия какой извиняться рекламировать москва вынудить быть технический отказаться ваш услуга подарить интернет связаться мочь мочь смотреть видеть подключение отсутствовать нужно мочь мочь вы провести диагностик роутер смочь отключить подключить попытаться дело понимать 67 год понять звонить 40 минута объяснить записывать звонок звонок записываться зато деньга какой услуга алло алло молодой де смотреть доступ интернет технический причина нужно мочь просто подойти роутер посмотреть гореть индикатор планета немой говорить сутра работать нормально интернет работать утро нормально беспокоить уверить слышать такой случай мочь предоставить инженер ваш адрес молодой человек сказать баланс сколько ты попасть месяц оплатить оренбург заказ поза нужно мочь переключить провод ротор техника вызвать тотемный такой случай инженер оформить попытаться объяснить почему дозвониться невозможно очередь линия сам сколько мочь ответить ваш вопрос открыть час очередь линия нормально порядок вроде 40 ой записывать разговор инженеров оформлять адрес понять техникова оформить время смочь говорить никакой попробовать плохо слышный вопрос почему процесс ответить ваш вопрос вопрос остаться очень бежевый ответить получиться линия почему постоянно лушина вопрос повод работа интернет
